,r2
478,0.6587547086552897
479,0.6702418158667376
480,0.6759558393112107
481,0.6810843788946689
482,0.6650552634584093
483,0.6626963317317736
484,0.6645772957071558
485,0.6651783294096445
486,0.6883013394777715
487,0.6724347640949193
488,0.6708835624474274
489,0.6636703981922611
490,0.6706049333067157
491,0.6636682716384386
492,0.658011731464008
493,0.6661815232541114
494,0.6840338370927301
495,0.6609100194371305
496,0.6779525398833336
497,0.6703340006151113
498,0.6822500747971224
499,0.6721155517517285
500,0.6345275803147379
501,0.6853617078293024
502,0.6682981282321641
503,0.6481344941968173
504,0.6816564915769479
505,0.6721167460234698
506,0.6648609359215307
507,0.6636576840778495
508,0.6614113245929065
509,0.6691288824939293
510,0.6587543536740267
511,0.6681015698306736
512,0.6626781518692493
513,0.651651342462297
514,0.6692964754467698
515,0.6454569485966783
516,0.6774861812542379
517,0.6604316450080404
518,0.6556603410278292
519,0.6830524722511159
520,0.6638474957336628
521,0.6742338596156803
522,0.675414660604768
523,0.667004555406157
524,0.6611943713153634
525,0.6444323178230534
526,0.6673576292594726
527,0.6529541198003541
528,0.6525024401073852
529,0.6496951680097676
530,0.6597812431518836
531,0.6679369655603549
532,0.642964044042662
533,0.6661450870190853
534,0.6750279238968115
535,0.681052856728749
536,0.6722221529891572
537,0.6655741177354735
538,0.6644467931182141
539,0.6588664907176189
540,0.6668125836204104
541,0.6712858638256907
542,0.6672814056980054
543,0.6637549536171137
544,0.660803808576017
545,0.6659276228643294
546,0.6828095178064584
547,0.6819576856596896
548,0.6633200607907882
549,0.6544251237923928
550,0.6904730676359012
551,0.6652555931352009
552,0.640232369802094
553,0.6722553773481084
554,0.657850394466595
555,0.690677975834721
556,0.6576080873538477
557,0.6829248120545851
558,0.665372114810175
559,0.6525508982896522
560,0.6667032329882441
561,0.6875062042738532
562,0.6706209577799408
563,0.6493061238820179
564,0.6835725061471913
565,0.6490226561821446
566,0.6581369294863508
567,0.6579301704202359
568,0.6689851766485428
569,0.6812674803462935
570,0.657552983949911
571,0.6573696101935775
572,0.6750164689087912
573,0.6688813949101271
574,0.6807366424626167
575,0.688865444107642
576,0.6560388794301679
577,0.6820815386266127
578,0.6683480822567612
579,0.6834231407910969
580,0.6803006823124402
581,0.6799377788214247
582,0.6666960977913228
583,0.6503972873064061
584,0.6498988911216461
585,0.6820520082184516
586,0.679011419006659
587,0.6876254917728744
588,0.6677821123313785
589,0.6721477037093038
590,0.6773409003294896
591,0.6628846479740044
592,0.6315213970168108
593,0.6729313718567855
594,0.6448256797396865
595,0.6675346705597365
596,0.6603415646105887
597,0.6640525613226658
598,0.6792844700390299
599,0.6697313614077967
600,0.6745365202467817
601,0.6684771196580674
602,0.6780034328131705
603,0.6664109286725692
604,0.6685128480607568
605,0.657331879888483
606,0.6423627844963713
607,0.6648355250149991
608,0.6698525997165732
609,0.6588168641805014
610,0.6689411857786056
611,0.6811817924852652
612,0.6668909111072836
613,0.6743275669320747
614,0.6769726499121679
615,0.6460490523554733
616,0.6374268851934015
617,0.6754976064300608
618,0.6678447516054649
619,0.6481609866547944
620,0.6577279552635024
621,0.6486266069711284
622,0.6796207985886221
623,0.6619456693174235
624,0.6621321391164651
625,0.6683756837634716
626,0.6568897684549245
627,0.653225548376118
628,0.6850538552194068
629,0.6547630134146603
630,0.6622658729563617
631,0.6848324490842688
632,0.6878700878202226
633,0.684939609374531
634,0.670031410095236
635,0.6605775595391072
636,0.6605179892048456
637,0.6612028356513209
638,0.6797488429777232
639,0.6596581078447891
640,0.674463661639289
641,0.6442066861143891
642,0.676225547460767
643,0.666709620304287
644,0.6733022433625068
645,0.6795845748378256
646,0.6537592702407262
647,0.6815195019587301
648,0.6770292870728161
649,0.6879174760968088
650,0.658431954689429
651,0.6876507262166851
652,0.6651524875406852
653,0.6932166316408882
654,0.6461311786269528
655,0.6749448098186213
656,0.6788076264270371
657,0.6639696845335612
658,0.6599955840591472
659,0.6704371613498246
660,0.6538719423627066
661,0.6523576989813623
662,0.6749948141593104
663,0.667495397863267
664,0.6501948953274727
665,0.6685396922925937
666,0.6793913452438636
667,0.6629593263539111
668,0.6866686100529804
669,0.6751103367959548
670,0.6659814322118152
671,0.6899240709842659
672,0.6720628039158937
673,0.6654354254491064
674,0.6725269642851865
675,0.650891423517461
676,0.6739077639111921
677,0.6507902530553134
678,0.6505313187853425
679,0.660545986554898
680,0.6755478334268987
681,0.6671655676669113
682,0.6568981597270744
683,0.6590506187764715
684,0.6652216102539201
685,0.6611386164829934
686,0.6599879401549236
687,0.6878662087946616
688,0.6630133653757893
689,0.6759160638574795
690,0.6623661876466618
691,0.6888640209208692
692,0.6596794901464988
693,0.6793207334599602
694,0.6459279686621501
695,0.6784723412376958
696,0.6499926108506303
697,0.6782164108279833
698,0.6594698854800785
699,0.6652076445139667
700,0.6756839278983315
701,0.6512077593916192
702,0.6617390857503584
703,0.6481247944003213
704,0.6707585712013769
705,0.6584394251198673
706,0.6600666699525883
707,0.6708779697712421
708,0.6713198652995845
709,0.6675544763680691
710,0.6567185911048878
711,0.6546068129033408
712,0.6543139187546589
713,0.6662204259860673
714,0.6662965262081446
715,0.683005278794967
716,0.6543427518334171
717,0.66604678556904
718,0.6671463825796375
719,0.6699729111599801
720,0.6667325274016309
721,0.6626333882311338
722,0.6721559441034701
723,0.6834755716201544
724,0.6711956864275814
725,0.6618108525045245
726,0.656112527081822
727,0.6697648760440227
728,0.6584397091219503
729,0.6834047051740153
730,0.6510028605015115
731,0.674479519448689
732,0.6456377718982962
733,0.6619762527997319
734,0.6425570086336325
735,0.6544631883269708
736,0.6769762151696457
737,0.650044027776216
738,0.6684494086782755
739,0.6754342554576764
740,0.6653262562518429
741,0.6595135605178508
742,0.6606969092706809
743,0.6739993100258029
744,0.6533855188617929
745,0.6661601643018753
746,0.6490429913596487
747,0.670678974829495
748,0.6548274367711032
749,0.6806639368445713
750,0.6825526204996701
751,0.6558475129103372
752,0.6808420295471533
753,0.6688723648729404
754,0.6721706451222125
755,0.6722605223350415
756,0.6826077752327646
757,0.6647986259680152
758,0.6621963497053824
759,0.6688198193049149
760,0.6609652183662461
761,0.6774485487343592
762,0.6631594758774453
763,0.694623389055982
764,0.6595123139252248
765,0.6791493025980025
766,0.6677025988087713
767,0.6757509294410315
768,0.641694685152983
769,0.6714006001044746
770,0.6865858601998865
771,0.6597221545270882
772,0.6757242194327693
773,0.6590908682711885
774,0.6918615207894919
775,0.6484523325714975
776,0.6661118399103024
777,0.6728178699710419
778,0.66055008468803
779,0.68455370285355
780,0.6572895940818875
781,0.6553570111529006
782,0.6593799184519744
783,0.6811902303905726
784,0.6871950740723607
785,0.6624536002205089
786,0.6438945493583397
787,0.6680589618719197
788,0.6624044244453334
